waterbodyID,stationID,sampleID,sampleDate,analysisID,analysisDate,analystName,frozen,filtered,dilution,sampleTemperatureC,ChlaUGL,PhycoUGL,analysisRep,fluorometerType,photosAnalysis,commentAnalysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/01/2015,380,09/18/2015,Vuarnelle Urena,Yes,No,1:4,23.2,0.32,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/01/2015,381,09/18/2015,Vuarnelle Urena,Yes,No,1:4,23.2,0.32,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/01/2015,382,09/18/2015,Vuarnelle Urena,Yes,No,1:8,23.1,0.6,23.43,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/01/2015,383,09/18/2015,Vuarnelle Urena,Yes,No,1:8,23.1,0.6,23.43,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/01/2015,384,09/18/2015,Vuarnelle Urena,Yes,No,1:8,23.2,0.3,16.71,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/01/2015,385,09/18/2015,Vuarnelle Urena,Yes,No,1:8,23.2,0.3,16.71,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/07/2015,210,08/07/2015,Sophie Fournier,No,No,1:1,22.8,3.41,28.8,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,1,08/07/2015,211,08/07/2015,Sophie Fournier,No,No,1:1,23.6,7.48,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/07/2015,212,08/07/2015,Sophie Fournier,No,No,1:1,23.7,3.75,27.46,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/07/2015,213,08/07/2015,Sophie Fournier,No,No,1:1,22.7,2.88,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/07/2015,214,08/07/2015,Sophie Fournier,No,No,1:2,22.8,1.32,2.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,1,08/07/2015,215,08/07/2015,Sophie Fournier,No,No,1:2,23.6,0.95,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/07/2015,216,08/07/2015,Sophie Fournier,No,No,1:2,23.7,1.52,2.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/07/2015,217,08/07/2015,Sophie Fournier,No,No,1:2,22.7,0.77,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/07/2015,386,09/18/2015,Vuarnelle Urena,Yes,No,1:1,22.9,2.34,4.14,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,1,08/07/2015,387,09/18/2015,Vuarnelle Urena,Yes,No,1:1,23,1.77,31.49,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/07/2015,388,09/18/2015,Vuarnelle Urena,Yes,No,1:1,23,1.77,94.68,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/07/2015,389,09/18/2015,Vuarnelle Urena,Yes,No,1:1,23.1,1.49,24.77,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/07/2015,390,09/18/2015,Vuarnelle Urena,Yes,No,1:2,22.9,0.85,11.34,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,1,08/07/2015,391,09/18/2015,Vuarnelle Urena,Yes,No,1:2,23,1,22.08,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/07/2015,392,09/18/2015,Vuarnelle Urena,Yes,No,1:2,23,0.75,22.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/07/2015,393,09/18/2015,Vuarnelle Urena,Yes,No,1:2,23.1,1.07,14.02,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/07/2015,394,09/18/2015,Vuarnelle Urena,Yes,No,1:4,22.9,0.55,12.68,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/07/2015,395,09/18/2015,Vuarnelle Urena,Yes,No,1:4,22.9,0.55,12.68,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/07/2015,396,09/18/2015,Vuarnelle Urena,Yes,No,1:8,22.9,0.22,10,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/07/2015,397,09/18/2015,Vuarnelle Urena,Yes,No,1:8,22.9,0.22,10,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/22/2015,644,10/29/2015,Sophie Fournier,Yes,No,1:1,21.4,1,11.34,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,1,08/22/2015,645,10/29/2015,Sophie Fournier,Yes,No,1:1,21,1.59,15.71,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/22/2015,646,10/29/2015,Sophie Fournier,Yes,No,1:1,21.2,1,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/22/2015,647,10/29/2015,Sophie Fournier,Yes,No,1:1,21.8,1.07,11.34,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/22/2015,648,10/29/2015,Sophie Fournier,Yes,No,1:2,21.4,0.4,5.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,1,08/22/2015,649,10/29/2015,Sophie Fournier,Yes,No,1:2,21,0.45,7,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/22/2015,650,10/29/2015,Sophie Fournier,Yes,No,1:2,21.2,0.7,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/22/2015,651,10/29/2015,Sophie Fournier,Yes,No,1:2,21.8,0.45,4,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_N,1,07/17/2015,124,08/06/2015,Vuarnelle Urena,Yes,No,1:1,21.8,2.61,77.16,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_N,2,07/17/2015,125,08/06/2015,Vuarnelle Urena,Yes,No,1:1,21.9,1.59,5.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_N,1,07/17/2015,126,08/06/2015,Vuarnelle Urena,Yes,No,1:2,21.8,0.62,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_N,2,07/17/2015,127,08/06/2015,Vuarnelle Urena,Yes,No,1:2,21.9,0.7,,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_N,1,07/31/2015,652,10/29/2015,Sophie Fournier,Yes,No,1:1,19.3,2.06,86.56,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_O,1,07/31/2015,653,10/29/2015,Sophie Fournier,Yes,No,1:1,20.5,2.09,101.34,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_N,2,07/31/2015,654,10/29/2015,Sophie Fournier,Yes,No,1:1,19.3,1.91,94.62,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_O,2,07/31/2015,655,10/29/2015,Sophie Fournier,Yes,No,1:1,21.4,2.09,144.52,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_N,1,07/31/2015,656,10/29/2015,Sophie Fournier,Yes,No,1:2,19.3,1.04,32.83,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_O,1,07/31/2015,657,10/29/2015,Sophie Fournier,Yes,No,1:2,20.5,1.12,47.61,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_N,2,07/31/2015,658,10/29/2015,Sophie Fournier,Yes,No,1:2,19.3,1,42.23,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006017L-05,WW37_O,2,07/31/2015,659,10/29/2015,Sophie Fournier,Yes,No,1:2,21.4,0.87,61.04,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,08/10/2015,660,10/29/2015,Sophie Fournier,Yes,No,1:1,19.2,2.49,283.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,08/10/2015,661,10/29/2015,Sophie Fournier,Yes,No,1:1,18.4,2.06,275.41,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,08/10/2015,662,10/29/2015,Sophie Fournier,Yes,No,1:1,18.8,1.87,323.98,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,08/10/2015,663,10/29/2015,Sophie Fournier,Yes,No,1:1,19.4,2.14,295.65,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,08/10/2015,664,10/29/2015,Sophie Fournier,Yes,No,1:2,19.2,1.07,121.58,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,08/10/2015,665,10/29/2015,Sophie Fournier,Yes,No,1:2,18.4,0.75,98.65,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,08/10/2015,666,10/29/2015,Sophie Fournier,Yes,No,1:2,18.8,0.8,120.23,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,08/10/2015,667,10/29/2015,Sophie Fournier,Yes,No,1:2,19.4,1,125.63,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,08/22/2015,668,10/29/2015,Sophie Fournier,Yes,No,1:1,20.3,2.64,276.76,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,08/22/2015,669,10/29/2015,Sophie Fournier,Yes,No,1:1,19.9,2.11,372.56,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,08/22/2015,670,10/29/2015,Sophie Fournier,Yes,No,1:1,19.7,2.36,440.03,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,08/22/2015,671,10/29/2015,Sophie Fournier,Yes,No,1:1,20.2,2.36,384.7,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,08/22/2015,672,10/29/2015,Sophie Fournier,Yes,No,1:2,20.3,0.47,47.61,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,08/22/2015,673,10/29/2015,Sophie Fournier,Yes,No,1:2,19.9,1.04,164.76,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,08/22/2015,674,10/29/2015,Sophie Fournier,Yes,No,1:2,19.7,1.09,183.65,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,08/22/2015,675,10/29/2015,Sophie Fournier,Yes,No,1:2,20.2,0.97,143.17,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,08/22/2015,676,10/29/2015,Sophie Fournier,Yes,No,1:4,20.3,0.12,8.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,08/22/2015,677,10/29/2015,Sophie Fournier,Yes,No,1:4,20.3,0.12,8.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,09/05/2015,892,11/10/2015,Sophie Fournier,Yes,No,1:1,23.1,1.12,12.68,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,09/05/2015,893,11/10/2015,Sophie Fournier,Yes,No,1:1,23.1,1.17,74.47,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,09/05/2015,894,11/10/2015,Sophie Fournier,Yes,No,1:1,23.1,1.04,86.56,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,09/05/2015,895,11/10/2015,Sophie Fournier,Yes,No,1:1,23.1,1.02,75.82,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,09/05/2015,896,11/10/2015,Sophie Fournier,Yes,No,1:2,23.1,0.42,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,09/05/2015,897,11/10/2015,Sophie Fournier,Yes,No,1:2,23.1,0.65,30.14,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,09/05/2015,898,11/10/2015,Sophie Fournier,Yes,No,1:2,23.1,0.6,43.58,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,09/05/2015,899,11/10/2015,Sophie Fournier,Yes,No,1:2,23.1,0.52,31.49,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,09/05/2015,900,11/10/2015,Sophie Fournier,Yes,No,1:4,23.1,0.25,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,09/05/2015,901,11/10/2015,Sophie Fournier,Yes,No,1:4,23.1,0.25,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,09/21/2015,913,11/17/2015,Vuarnelle Urena,Yes,No,1:1,19,0.45,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,09/21/2015,914,11/17/2015,Vuarnelle Urena,Yes,No,1:1,19.1,0.7,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,09/21/2015,915,11/17/2015,Vuarnelle Urena,Yes,No,1:1,19.8,0.45,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,09/21/2015,916,11/17/2015,Vuarnelle Urena,Yes,No,1:1,19.2,0.7,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,09/21/2015,917,11/17/2015,Vuarnelle Urena,Yes,No,1:2,19,0.12,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,09/21/2015,918,11/17/2015,Vuarnelle Urena,Yes,No,1:2,19.1,0.35,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,09/21/2015,919,11/17/2015,Vuarnelle Urena,Yes,No,1:2,19.8,0.17,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,09/21/2015,920,11/17/2015,Vuarnelle Urena,Yes,No,1:2,19.2,0.25,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,10/04/2015,921,11/17/2015,Vuarnelle Urena,Yes,No,1:1,19.6,0.52,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,10/04/2015,922,11/17/2015,Vuarnelle Urena,Yes,No,1:1,19.4,0.37,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,10/04/2015,923,11/17/2015,Vuarnelle Urena,Yes,No,1:1,19.4,0.62,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,10/04/2015,924,11/17/2015,Vuarnelle Urena,Yes,No,1:1,19.1,0.52,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,10/04/2015,925,11/17/2015,Vuarnelle Urena,Yes,No,1:2,19.6,0.3,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,10/04/2015,926,11/17/2015,Vuarnelle Urena,Yes,No,1:2,19.4,0.05,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,10/04/2015,927,11/17/2015,Vuarnelle Urena,Yes,No,1:2,19.4,0.3,4,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,10/04/2015,928,11/17/2015,Vuarnelle Urena,Yes,No,1:2,19.1,0.25,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,10/04/2015,929,11/17/2015,Vuarnelle Urena,Yes,No,1:4,19.4,0.15,1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,10/04/2015,930,11/17/2015,Vuarnelle Urena,Yes,No,1:4,19.4,0.15,1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,10/17/2015,572,10/17/2015,Vuarnelle Urena,No,No,1:1,18,2.69,1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,10/17/2015,573,10/17/2015,Vuarnelle Urena,No,No,1:1,17.5,2.93,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,10/17/2015,574,10/17/2015,Vuarnelle Urena,No,No,1:1,18.1,3.33,31.49,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,10/17/2015,575,10/17/2015,Vuarnelle Urena,No,No,1:1,17.7,2.86,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_N,1,10/17/2015,576,10/17/2015,Vuarnelle Urena,No,No,1:2,18,1.02,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,1,10/17/2015,577,10/17/2015,Vuarnelle Urena,No,No,1:2,17.5,1.07,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,2,10/17/2015,578,10/17/2015,Vuarnelle Urena,No,No,1:2,18.1,1.32,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0006018L-06,WW05_O,3,10/17/2015,579,10/17/2015,Vuarnelle Urena,No,No,1:2,17.7,1.24,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
